# fileName  = fg-asym-pi_BPP.txt 
# userId    = panzer 
# nodeName  = Georges-MacBook-Pro-2.local 
# sysName   = Darwin 
# date      = 20180112 
# timeStamp = 12180327 
#
# command   = xPer_pi_BPP(...) 
#
signifDigits	numTerms	piHat	tolRad	error	isCensored
3	2	3.14	5e-04	-0.00017	0
4	3	3.142	5e-05	-5.263e-06	0
5	4	3.1416	5e-06	-1.96e-07	0
6	4	3.14159	5e-07	-1.96e-07	0
7	5	3.141593	5e-08	-8.129e-09	0
8	6	3.1415927	5e-09	-3.617e-10	0
9	6	3.14159265	5e-10	-3.617e-10	0
10	7	3.141592654	5e-11	-1.691e-11	0
11	8	3.1415926536	5e-12	-8.202e-13	0
12	9	3.14159265359	5e-13	-4.086e-14	0
13	9	3.14159265359	5e-14	-4.086e-14	0
14	10	3.1415926535898	5e-15	-1.776e-15	0
15	11	3.14159265358979	5e-16	0	0
16	15	3.141592653589793	5e-17	0	1
17	15	3.1415926535897931	5.0000000000000004e-18	0	1
