# fileName  = fg-asym-pi_needles.txt 
# userId    = panzer 
# nodeName  = Georges-MacBook-Pro-2.local 
# sysName   = Darwin 
# date      = 20180112 
# timeStamp = 12180338 
#
# command   = xPer_pi_needles(...) 
#
sampleId	seedInit	signifDigits	needleRatio	piMC	tolRadius	error	isCensored	cntProbe	runtime
1	1215	2	1	3.1428571428571428	0.0050000000000000001	0.0012999999999999999	0	77	0.030000000000029559
2	568308139	2	1	3.1428571428571428	0.0050000000000000001	0.0012999999999999999	0	44	0.0099999999999909051
3	997982499	2	1	3.1428571428571428	0.0050000000000000001	0.0012999999999999999	0	22	0.0029999999999859028
4	88011729	2	1	3.1428571428571428	0.0050000000000000001	0.0012999999999999999	0	44	0.0090000000000145519
5	976086788	2	1	3.1400000000000001	0.0050000000000000001	-0.0016000000000000001	0	157	0.1279999999999859
6	667537487	2	1	3.1428571428571428	0.0050000000000000001	0.0012999999999999999	0	11	0.00099999999997635314
7	650036811	2	1	3.1428571428571428	0.0050000000000000001	0.0012999999999999999	0	121	0.074999999999988631
8	999559969	2	1	3.1379310344827585	0.0050000000000000001	-0.0037000000000000002	0	91	0.04199999999997317
9	947557895	2	1	3.1428571428571428	0.0050000000000000001	0.0012999999999999999	0	11	0.00099999999997635314
10	155490774	2	1	3.1368421052631579	0.0050000000000000001	-0.0047999999999999996	0	149	0.12299999999999045
11	156670128	3	1	3.1104199066874028	0.00050000000000000001	-0.031199999999999999	1	1000	5.4730000000000132
12	504022904	3	1	3.1414473684210527	0.00050000000000000001	-0.000145	0	955	4.8480000000000132
13	827812605	3	1	3.1414141414141414	0.00050000000000000001	-0.00017899999999999999	0	311	0.49000000000000909
14	530213753	3	1	3.1414141414141414	0.00050000000000000001	-0.00017899999999999999	0	311	0.58800000000002228
15	749668598	3	1	3.1412429378531073	0.00050000000000000001	-0.00035	0	278	0.50999999999999091
16	216760684	3	1	3.1416837782340861	0.00050000000000000001	9.1100000000000005e-05	0	765	3.4140000000000441
17	704481083	3	1	3.1419354838709679	0.00050000000000000001	0.00034299999999999999	0	487	1.839999999999975
18	15959730	3	1	3.1411764705882352	0.00050000000000000001	-0.00041599999999999997	0	267	0.45300000000003138
19	126651019	3	1	3.1413043478260869	0.00050000000000000001	-0.00028800000000000001	0	289	0.55299999999999727
20	935094781	3	1	3.1411764705882352	0.00050000000000000001	-0.00041599999999999997	0	267	0.56400000000002137
21	85689614	4	1	3.125	5.0000000000000002e-05	-0.016590000000000001	1	1000	6.5640000000000214
22	351943886	4	1	3.215434083601286	5.0000000000000002e-05	0.073840000000000003	1	1000	7.0950000000000273
23	185831342	4	1	3.1416309012875536	5.0000000000000002e-05	3.8250000000000001e-05	0	732	4.1060000000000514
24	295944936	4	1	3.134796238244514	5.0000000000000002e-05	-0.006796	1	1000	9.1239999999999668
25	629911148	4	1	3.134796238244514	5.0000000000000002e-05	-0.006796	1	1000	7.7100000000000364
26	551628196	4	1	3.1847133757961785	5.0000000000000002e-05	0.043119999999999999	1	1000	6.05600000000004
27	747035020	4	1	3.2051282051282053	5.0000000000000002e-05	0.063539999999999999	1	1000	5.9429999999999836
28	474421320	4	1	3.1948881789137382	5.0000000000000002e-05	0.0533	1	1000	6.4730000000000132
29	974466536	4	1	3.1446540880503147	5.0000000000000002e-05	0.0030609999999999999	1	1000	6.5240000000000009
30	675585322	4	1	3.2051282051282053	5.0000000000000002e-05	0.063539999999999999	1	1000	6.2960000000000491
